1,2,3,7,11,15,19,23,27,31,

0.223087, 0.198154, 0.148043, 0.0813791, 0.0513131, 0.0353715, 0.0262041, 0.0206434, 0.0171355, 0.0148391, 
0.000152186, 0.000158037, 0.000164807, 0.00013897, 0.000184769, 0.000193675, 0.000181179, 0.000143923, 0.00012269, 9.92284e-05, 
0.223065, 0.195682, 0.140134, 0.0668224, 0.0371608, 0.0235301, 0.0167664, 0.0131958, 0.0112011, 0.010035, 
0.000117978, 0.000105625, 0.000137452, 0.000125774, 8.42962e-05, 6.54552e-05, 5.29255e-05, 5.11004e-05, 6.05451e-05, 5.96176e-05, 
0.22314, 0.192313, 0.129188, 0.0513087, 0.0252467, 0.0153462, 0.0112679, 0.00946028, 0.00857783, 0.00810336, 
0.000167345, 0.000156513, 0.000178445, 0.000146875, 6.9443e-05, 4.61628e-05, 3.57053e-05, 1.83298e-05, 2.44296e-05, 2.24833e-05, 
0.223053, 0.184761, 0.0970991, 0.0286601, 0.0133932, 0.00931556, 0.00798665, 0.00745474, 0.00719846, 0.00705127, 
0.00016535, 0.000142828, 0.000148285, 6.3154e-05, 4.52985e-05, 3.42587e-05, 2.7155e-05, 2.15735e-05, 2.31775e-05, 2.31763e-05, 
0.223134, 0.197802, 0.145717, 0.0781103, 0.047684, 0.0319831, 0.0232689, 0.018159, 0.0150151, 0.0130205, 
0.000147443, 0.000135066, 0.000132736, 0.000175748, 0.000172525, 0.000165204, 0.000146431, 0.000125414, 0.000114578, 9.98219e-05, 
